Fecha,Nacional,Aguascalientes,Baja California,Baja California Sur,Campeche,Chiapas,Chihuahua,Ciudad de México,Coahuila,Colima,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,Michoacán,Morelos,México,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatán,Zacatecas
2020-04-12,1563,5,133,10,6,11,46,486,15,3,6,19,24,26,27,26,19,200,7,14,7,88,18,97,10,130,24,31,9,10,29,20,7
2020-04-13,1696,5,150,10,6,11,52,536,18,3,6,21,25,26,27,27,20,214,8,16,8,96,18,106,9,140,26,33,8,12,31,21,7
2020-04-14,1874,8,163,14,7,12,54,591,18,3,5,23,28,31,27,30,23,244,8,16,10,98,19,111,9,154,27,53,10,12,37,21,8
2020-04-15,2086,8,181,15,9,11,65,657,18,3,6,24,31,31,32,31,26,286,10,18,11,109,20,117,9,169,28,58,12,14,44,25,8
2020-04-16,2267,10,188,15,10,12,81,701,20,3,7,26,33,32,33,36,27,314,12,18,12,118,23,120,9,188,29,76,19,14,47,27,7
2020-04-17,2479,10,198,17,12,14,84,777,20,5,9,32,37,34,39,38,34,344,13,18,14,125,24,123,10,207,34,83,22,15,50,29,8
2020-04-18,2766,10,232,18,16,16,97,883,31,5,9,32,37,34,42,42,36,361,14,25,15,133,24,141,10,233,40,93,26,17,52,33,9
2020-04-19,3049,10,266,21,17,17,112,970,31,6,9,32,44,35,42,43,39,407,15,25,15,145,26,146,10,258,41,107,31,19,66,35,9
2020-04-20,3226,10,293,23,18,18,114,1020,35,6,10,33,46,39,44,45,40,417,15,27,16,150,30,164,10,270,41,115,31,20,73,44,9
2020-04-21,3538,10,375,30,19,20,116,1064,42,6,10,34,46,48,46,54,44,463,19,28,18,164,32,187,10,285,38,140,35,22,77,46,10
2020-04-22,3997,15,409,31,19,22,133,1242,50,6,11,39,50,50,51,56,49,533,20,33,24,169,32,209,10,316,40,156,39,29,93,49,12
2020-04-23,4412,16,457,32,19,24,142,1394,50,7,13,39,64,51,58,64,60,588,21,39,27,182,34,218,11,331,42,178,45,34,96,63,13
2020-04-24,4897,19,485,32,27,25,155,1524,62,8,13,42,66,67,61,68,74,704,21,42,28,203,38,247,11,354,47,196,45,40,113,65,15
2020-04-25,5373,20,503,35,29,28,178,1684,67,8,14,45,72,77,63,76,90,813,20,43,40,225,41,265,11,358,47,209,47,46,131,71,17
2020-04-26,5700,20,528,39,31,30,186,1767,67,9,14,46,88,91,66,80,102,859,21,44,43,242,42,294,12,374,51,215,50,51,145,74,19
2020-04-27,6042,23,548,39,35,33,194,1857,74,13,14,47,94,98,70,84,104,879,21,45,49,271,46,320,13,387,54,245,55,52,179,80,19
2020-04-28,6581,23,607,39,42,34,221,1981,75,14,15,47,104,118,72,88,134,1021,23,49,49,291,47,345,14,390,55,268,55,62,193,85,20
2020-04-29,7047,27,672,42,45,44,226,2098,75,14,17,53,118,124,73,96,161,1093,24,51,56,319,49,352,19,393,58,280,58,71,223,96,20
2020-04-30,7584,29,693,43,50,50,239,2208,80,15,21,60,119,130,79,106,189,1239,28,58,60,325,52,395,21,407,60,296,61,76,266,107,22
2020-05-01,8221,30,695,47,53,56,266,2348,85,16,22,68,131,141,87,110,222,1361,30,61,67,371,57,421,27,469,64,330,66,92,278,126,24
2020-05-02,8712,31,698,51,59,64,305,2474,86,17,22,69,131,153,91,117,249,1441,32,68,82,403,61,444,30,496,64,337,71,99,304,138,25
2020-05-03,9270,33,730,51,66,70,341,2611,87,17,23,74,141,158,102,117,252,1583,36,72,83,437,64,455,31,512,67,386,75,106,320,144,26
2020-05-04,9998,36,822,53,67,73,355,2777,89,17,26,76,150,175,113,121,302,1764,38,80,86,463,73,465,32,532,69,413,76,113,366,149,27
2020-05-05,10561,37,966,53,68,78,372,2905,91,18,26,80,158,194,117,127,337,1827,43,84,91,487,73,493,34,539,70,418,79,119,392,155,30
2020-05-06,11237,38,1009,55,81,90,383,3171,89,18,28,88,168,204,128,135,373,1934,44,88,99,509,78,510,35,567,73,422,84,130,407,167,32
2020-05-07,12071,37,1051,59,86,97,397,3392,90,21,30,103,173,222,138,152,409,2161,49,93,103,540,84,520,40,589,86,452,92,140,455,175,35
2020-05-08,12690,38,1107,59,92,109,400,3539,95,23,34,109,174,241,158,156,445,2259,50,100,109,567,90,539,46,607,95,489,92,144,504,183,37
2020-05-09,13379,40,1152,59,100,118,415,3767,99,23,34,122,186,251,164,173,484,2362,53,102,116,592,94,559,46,615,104,508,107,156,549,191,38
2020-05-10,13908,41,1156,61,102,126,420,3988,102,25,34,127,212,269,165,180,498,2423,58,109,130,596,100,566,50,636,114,521,115,159,581,204,40
2020-05-11,14429,44,1171,63,111,134,430,4115,101,26,34,131,230,288,175,182,503,2466,60,114,133,625,107,585,51,648,126,559,123,173,667,212,42
2020-05-12,15305,48,1223,65,111,142,447,4375,103,27,39,141,242,307,182,193,552,2640,67,117,141,652,113,602,57,670,128,617,127,179,736,218,44
2020-05-13,16027,53,1337,65,119,149,470,4572,106,27,42,150,263,317,200,201,574,2711,68,131,153,668,122,620,60,689,135,646,129,191,780,230,49
2020-05-14,16904,58,1388,69,124,160,484,4839,110,30,45,158,273,341,215,207,615,2893,72,143,164,692,131,636,62,726,143,664,137,208,826,241,50
2020-05-15,17728,62,1477,72,137,165,520,5080,115,34,49,164,299,375,220,215,640,2987,80,151,187,711,140,649,65,768,156,690,146,221,845,255,53
2020-05-16,18458,63,1530,73,139,179,527,5292,116,34,52,167,316,413,232,229,641,3128,90,156,205,736,153,652,69,778,158,726,152,230,899,270,53
2020-05-17,19212,71,1586,73,144,198,533,5525,117,39,53,175,323,419,242,236,678,3261,95,173,210,762,162,659,76,804,175,756,151,239,945,274,58
2020-05-18,19831,72,1616,75,144,214,532,5740,117,42,56,175,334,456,247,240,678,3321,98,176,230,798,174,672,80,825,188,784,152,241,1006,289,59
2020-05-19,20720,84,1692,78,149,229,551,6034,123,42,58,186,348,478,252,254,697,3431,106,174,232,847,186,683,84,858,207,806,163,261,1060,306,61
