Fecha,Nacional,Aguascalientes,Baja California,Baja California Sur,Campeche,Chiapas,Chihuahua,Ciudad de México,Coahuila,Colima,Durango,Guanajuato,Guerrero,Hidalgo,Jalisco,Michoacán,Morelos,México,Nayarit,Nuevo León,Oaxaca,Puebla,Querétaro,Quintana Roo,San Luis Potosí,Sinaloa,Sonora,Tabasco,Tamaulipas,Tlaxcala,Veracruz,Yucatán,Zacatecas
2020-04-12,210,1,13,0,0,2,5,62,3,0,0,7,9,2,5,3,5,14,1,5,1,10,3,15,2,12,3,7,2,2,6,10,0
2020-04-13,230,1,13,0,0,2,5,69,3,0,0,8,9,2,5,3,5,15,1,5,2,12,3,18,2,15,3,7,1,3,7,11,0
2020-04-14,257,1,17,1,1,2,6,74,5,0,0,8,9,3,5,3,7,16,1,5,3,12,3,21,2,16,3,11,1,3,7,11,0
2020-04-15,277,1,18,1,1,2,5,78,5,0,0,8,9,3,5,3,8,20,1,6,3,13,3,23,2,17,3,12,2,4,10,11,0
2020-04-16,316,1,18,1,1,2,18,87,6,0,0,9,11,3,5,3,8,23,1,6,3,13,3,23,2,19,3,18,3,4,9,13,0
2020-04-17,347,1,18,1,1,2,18,97,6,0,0,10,14,3,5,5,10,27,1,6,3,13,3,25,2,19,3,20,4,4,11,15,0
2020-04-18,373,1,20,1,3,2,19,111,6,0,0,10,14,3,5,5,10,27,1,6,3,13,3,29,2,19,3,22,4,5,11,15,0
2020-04-19,398,1,20,1,3,2,26,116,6,0,0,10,14,3,5,5,10,30,1,6,3,15,3,32,2,20,4,24,4,5,12,15,0
2020-04-20,409,1,21,1,3,2,26,121,6,0,0,10,14,3,5,5,10,30,1,6,3,15,3,33,2,21,4,24,4,6,13,16,0
2020-04-21,440,1,24,2,3,2,26,132,6,0,0,10,14,4,6,5,12,33,1,6,4,16,3,33,2,22,4,28,4,6,14,16,1
2020-04-22,492,1,25,2,3,3,37,142,7,0,2,11,16,4,6,6,14,36,1,6,5,18,3,37,2,23,4,31,5,7,17,17,1
2020-04-23,530,1,25,3,3,3,39,151,6,0,2,11,20,4,8,6,16,39,1,8,5,18,3,41,2,24,5,35,5,7,18,20,1
2020-04-24,578,1,24,3,4,5,47,168,7,0,2,11,20,5,8,6,20,39,1,9,5,19,3,44,2,26,5,37,5,8,22,20,2
2020-04-25,610,2,24,3,4,5,48,179,8,0,2,13,20,6,8,6,21,41,1,9,6,19,3,49,2,26,5,38,6,10,24,20,2
2020-04-26,635,2,24,3,4,5,52,182,8,0,2,13,20,6,8,8,23,44,1,9,6,20,3,51,2,27,5,38,6,11,30,20,2
2020-04-27,676,2,24,3,4,6,56,194,8,1,2,13,21,9,8,8,23,45,1,9,7,22,3,54,2,28,6,42,6,11,36,20,2
2020-04-28,720,2,25,3,7,6,63,203,8,1,2,13,22,9,8,8,24,46,1,9,10,26,3,57,2,28,6,43,6,17,37,21,4
2020-04-29,785,3,25,3,8,6,65,220,8,1,2,14,24,13,8,8,28,53,1,10,16,28,3,58,3,28,8,43,7,21,42,24,4
2020-04-30,820,3,25,3,8,7,70,223,8,1,2,15,25,13,8,8,32,56,1,11,16,29,4,61,4,28,8,44,7,22,49,25,4
2020-05-01,861,3,28,4,9,8,71,228,8,1,2,15,27,13,8,9,33,56,1,12,16,36,4,67,4,31,8,46,7,25,51,26,4
2020-05-02,924,3,29,4,9,11,85,242,7,1,2,15,27,16,8,9,33,64,1,14,18,40,5,72,4,32,8,46,8,25,53,27,6
2020-05-03,987,3,29,4,9,13,102,254,7,1,2,17,30,16,9,9,33,67,1,15,18,44,6,73,4,34,8,49,8,28,57,29,8
2020-05-04,1015,4,29,4,9,14,105,261,7,1,2,17,30,16,9,9,33,69,1,15,18,45,6,74,4,36,8,50,8,29,63,28,11
2020-05-05,1073,4,30,4,10,16,117,276,7,1,2,21,31,23,9,9,34,70,1,16,18,47,6,77,4,36,8,49,8,30,70,28,11
2020-05-06,1134,4,32,4,11,20,128,286,7,1,2,23,33,26,9,10,37,71,1,17,18,51,6,79,4,36,10,50,9,31,76,28,14
2020-05-07,1193,5,33,4,11,21,129,297,7,2,2,24,33,28,9,11,37,81,2,17,20,51,6,84,5,38,11,53,9,34,85,29,15
2020-05-08,1263,5,33,4,11,22,132,319,7,2,2,26,33,30,9,12,39,91,2,18,22,52,6,91,6,38,11,58,9,34,92,30,17
2020-05-09,1325,6,35,4,11,23,142,334,7,2,2,27,37,32,10,13,39,94,2,19,26,53,6,93,6,39,13,61,10,35,96,31,17
2020-05-10,1387,6,35,4,11,24,142,368,8,2,2,27,39,32,10,14,39,97,2,20,29,53,7,95,7,40,13,63,12,36,101,31,18
2020-05-11,1443,6,35,4,12,24,142,385,8,2,2,27,43,34,11,16,39,99,2,20,29,54,7,97,7,42,15,66,13,40,113,31,18
2020-05-12,1492,6,36,4,12,24,145,395,8,2,2,29,45,35,15,18,39,101,2,21,32,56,8,98,8,43,15,68,13,46,115,32,19
2020-05-13,1570,6,38,4,12,25,147,426,8,2,2,32,46,37,18,18,39,103,3,22,34,57,8,98,10,50,16,69,13,49,127,32,19
2020-05-14,1632,6,39,5,14,30,150,443,9,2,3,32,47,37,20,19,40,113,4,24,34,58,8,101,11,50,17,70,13,54,128,32,19
2020-05-15,1732,6,40,5,17,32,156,483,9,2,4,32,56,38,21,20,42,117,4,25,42,62,10,103,11,55,17,71,13,54,131,34,20
2020-05-16,1809,6,41,5,17,38,157,503,9,2,5,32,62,39,24,22,44,117,4,27,47,66,13,107,11,57,17,80,13,55,133,35,21
2020-05-17,1851,6,42,5,19,40,158,510,9,2,5,32,62,41,25,22,45,122,5,28,47,70,13,108,12,58,17,80,13,58,139,36,22
2020-05-18,1893,6,42,5,19,42,158,521,9,2,5,32,63,41,25,22,45,123,5,29,51,70,14,111,14,60,17,83,13,60,145,38,23
2020-05-19,1960,6,42,5,23,42,159,535,9,2,5,32,63,48,27,23,45,125,5,29,52,77,14,111,15,69,21,85,14,66,149,38,24
2020-05-20,2076,6,42,5,23,44,161,590,9,2,5,33,65,50,28,24,46,127,5,35,56,83,13,114,15,78,21,90,14,71,158,39,24
2020-05-21,2210,6,44,6,24,45,205,620,9,3,8,35,70,51,30,25,46,127,5,35,58,91,15,118,16,82,21,94,14,71,173,39,24
2020-05-22,2281,8,44,7,25,46,210,649,11,3,9,37,71,51,33,25,46,137,6,36,59,84,16,119,17,86,21,99,14,71,177,40,24
2020-05-23,2370,8,45,7,26,50,235,677,11,3,8,38,72,53,34,25,46,140,6,37,59,86,16,123,18,93,24,100,14,72,180,40,24
2020-05-24,2436,8,45,8,28,52,235,683,11,4,8,42,79,53,38,25,46,142,6,39,61,93,16,124,21,95,29,105,15,75,185,41,24
2020-05-25,2490,8,46,8,28,55,235,695,11,5,8,42,80,53,40,26,46,146,6,39,66,94,17,127,21,98,29,107,16,81,191,42,24
